trial_id,AE_label_raw,event_category,is_any_ae,is_serious_ae,is_fatal,is_ae_leading_to_discontinuation,is_aesi,arm_label,arm_role,arm_total_n,n_with_event,percent_with_event,label_raw,ae_canonical,ae_family,is_summary,summary_type,drug_name,is_clinical_dose,include_in_plot,dose_mg,route,frequency
NCT01272219,Adverse events in ≥5% of patients,Adverse events in ≥5% of patients,True,False,False,False,False,Liraglutide,treatment,2481,1992.0,80.3,Adverse events in ≥5% of patients,Adverse events (≥5% of patients),Adverse events (≥5% of patients),True,other_summary,Liraglutide,True,True,,SC,QD
NCT01272219,Adverse events in ≥5% of patients,Adverse events in ≥5% of patients,True,False,False,False,False,Placebo,control,1242,786.0,63.3,Adverse events in ≥5% of patients,Adverse events (≥5% of patients),Adverse events (≥5% of patients),True,other_summary,Liraglutide,False,False,,,
NCT01272219,Nausea,Adverse events in ≥5% of patients,True,False,False,False,False,Liraglutide,treatment,2481,997.0,40.2,Nausea,Nausea,Nausea,False,,Liraglutide,True,True,,SC,QD
NCT01272219,Nausea,Adverse events in ≥5% of patients,True,False,False,False,False,Placebo,control,1242,183.0,14.7,Nausea,Nausea,Nausea,False,,Liraglutide,False,False,,,
NCT01272219,Diarrhea,Adverse events in ≥5% of patients,True,False,False,False,False,Liraglutide,treatment,2481,518.0,20.9,Diarrhea,Diarrhea,Diarrhea,False,,Liraglutide,True,True,,SC,QD
NCT01272219,Diarrhea,Adverse events in ≥5% of patients,True,False,False,False,False,Placebo,control,1242,115.0,9.3,Diarrhea,Diarrhea,Diarrhea,False,,Liraglutide,False,False,,,
NCT01272219,Constipation,Adverse events in ≥5% of patients,True,False,False,False,False,Liraglutide,treatment,2481,495.0,20.0,Constipation,Constipation,Constipation,False,,Liraglutide,True,True,,SC,QD
NCT01272219,Constipation,Adverse events in ≥5% of patients,True,False,False,False,False,Placebo,control,1242,108.0,8.7,Constipation,Constipation,Constipation,False,,Liraglutide,False,False,,,
NCT01272219,Vomiting,Adverse events in ≥5% of patients,True,False,False,False,False,Liraglutide,treatment,2481,404.0,16.3,Vomiting,Vomiting,Vomiting,False,,Liraglutide,True,True,,SC,QD
NCT01272219,Vomiting,Adverse events in ≥5% of patients,True,False,False,False,False,Placebo,control,1242,51.0,4.1,Vomiting,Vomiting,Vomiting,False,,Liraglutide,False,False,,,
NCT01272219,Dyspepsia,Adverse events in ≥5% of patients,True,False,False,False,False,Liraglutide,treatment,2481,236.0,9.5,Dyspepsia,Dyspepsia,Dyspepsia,False,,Liraglutide,True,True,,SC,QD
NCT01272219,Dyspepsia,Adverse events in ≥5% of patients,True,False,False,False,False,Placebo,control,1242,39.0,3.1,Dyspepsia,Dyspepsia,Dyspepsia,False,,Liraglutide,False,False,,,
NCT01272219,Upper abdominal pain,Adverse events in ≥5% of patients,True,False,False,False,False,Liraglutide,treatment,2481,141.0,5.7,Upper abdominal pain,Upper abdominal pain,Abdominal pain,False,,Liraglutide,True,True,,SC,QD
NCT01272219,Upper abdominal pain,Adverse events in ≥5% of patients,True,False,False,False,False,Placebo,control,1242,43.0,3.5,Upper abdominal pain,Upper abdominal pain,Abdominal pain,False,,Liraglutide,False,False,,,
NCT01272219,Abdominal pain,Adverse events in ≥5% of patients,True,False,False,False,False,Liraglutide,treatment,2481,130.0,5.2,Abdominal pain,Abdominal pain,Abdominal pain,False,,Liraglutide,True,True,,SC,QD
NCT01272219,Abdominal pain,Adverse events in ≥5% of patients,True,False,False,False,False,Placebo,control,1242,43.0,3.5,Abdominal pain,Abdominal pain,Abdominal pain,False,,Liraglutide,False,False,,,
NCT01272219,Nasopharyngitis,Adverse events in ≥5% of patients,True,False,False,False,False,Liraglutide,treatment,2481,427.0,17.2,Nasopharyngitis,Nasopharyngitis,Nasopharyngitis,False,,Liraglutide,True,True,,SC,QD
NCT01272219,Nasopharyngitis,Adverse events in ≥5% of patients,True,False,False,False,False,Placebo,control,1242,234.0,18.8,Nasopharyngitis,Nasopharyngitis,Nasopharyngitis,False,,Liraglutide,False,False,,,
NCT01272219,Upper respiratory tract infection,Adverse events in ≥5% of patients,True,False,False,False,False,Liraglutide,treatment,2481,213.0,8.6,Upper respiratory tract infection,Upper respiratory tract infection,Upper respiratory tract infection,False,,Liraglutide,True,True,,SC,QD
NCT01272219,Upper respiratory tract infection,Adverse events in ≥5% of patients,True,False,False,False,False,Placebo,control,1242,122.0,9.8,Upper respiratory tract infection,Upper respiratory tract infection,Upper respiratory tract infection,False,,Liraglutide,False,False,,,
NCT01272219,Sinusitis,Adverse events in ≥5% of patients,True,False,False,False,False,Liraglutide,treatment,2481,128.0,5.2,Sinusitis,Sinusitis,Sinusitis,False,,Liraglutide,True,True,,SC,QD
NCT01272219,Sinusitis,Adverse events in ≥5% of patients,True,False,False,False,False,Placebo,control,1242,73.0,5.9,Sinusitis,Sinusitis,Sinusitis,False,,Liraglutide,False,False,,,
NCT01272219,Influenza,Adverse events in ≥5% of patients,True,False,False,False,False,Liraglutide,treatment,2481,144.0,5.8,Influenza,Influenza,Influenza,False,,Liraglutide,True,True,,SC,QD
NCT01272219,Influenza,Adverse events in ≥5% of patients,True,False,False,False,False,Placebo,control,1242,66.0,5.3,Influenza,Influenza,Influenza,False,,Liraglutide,False,False,,,
NCT01272219,Headache,Adverse events in ≥5% of patients,True,False,False,False,False,Liraglutide,treatment,2481,327.0,13.2,Headache,Headache,Headache,False,,Liraglutide,True,True,,SC,QD
NCT01272219,Headache,Adverse events in ≥5% of patients,True,False,False,False,False,Placebo,control,1242,154.0,12.4,Headache,Headache,Headache,False,,Liraglutide,False,False,,,
NCT01272219,Dizziness,Adverse events in ≥5% of patients,True,False,False,False,False,Liraglutide,treatment,2481,167.0,6.7,Dizziness,Dizziness,Dizziness,False,,Liraglutide,True,True,,SC,QD
NCT01272219,Dizziness,Adverse events in ≥5% of patients,True,False,False,False,False,Placebo,control,1242,60.0,4.8,Dizziness,Dizziness,Dizziness,False,,Liraglutide,False,False,,,
NCT01272219,Decreased appetite,Adverse events in ≥5% of patients,True,False,False,False,False,Liraglutide,treatment,2481,267.0,10.8,Decreased appetite,Decreased appetite,Decreased appetite,False,,Liraglutide,True,True,,SC,QD
NCT01272219,Decreased appetite,Adverse events in ≥5% of patients,True,False,False,False,False,Placebo,control,1242,38.0,3.1,Decreased appetite,Decreased appetite,Decreased appetite,False,,Liraglutide,False,False,,,
NCT01272219,Back pain,Adverse events in ≥5% of patients,True,False,False,False,False,Liraglutide,treatment,2481,171.0,6.9,Back pain,Back pain,Musculoskeletal pain,False,,Liraglutide,True,True,,SC,QD
NCT01272219,Back pain,Adverse events in ≥5% of patients,True,False,False,False,False,Placebo,control,1242,105.0,8.5,Back pain,Back pain,Musculoskeletal pain,False,,Liraglutide,False,False,,,
NCT01272219,Arthralgia,Adverse events in ≥5% of patients,True,False,False,False,False,Liraglutide,treatment,2481,125.0,5.0,Arthralgia,Arthralgia,Joint disorders,False,,Liraglutide,True,True,,SC,QD
NCT01272219,Arthralgia,Adverse events in ≥5% of patients,True,False,False,False,False,Placebo,control,1242,71.0,5.7,Arthralgia,Arthralgia,Joint disorders,False,,Liraglutide,False,False,,,
NCT01272219,Fatigue,Adverse events in ≥5% of patients,True,False,False,False,False,Liraglutide,treatment,2481,185.0,7.5,Fatigue,Fatigue,Fatigue,False,,Liraglutide,True,True,,SC,QD
NCT01272219,Fatigue,Adverse events in ≥5% of patients,True,False,False,False,False,Placebo,control,1242,65.0,5.2,Fatigue,Fatigue,Fatigue,False,,Liraglutide,False,False,,,
NCT01272219,Injection-site hematoma,Adverse events in ≥5% of patients,True,False,False,False,False,Liraglutide,treatment,2481,142.0,5.7,Injection-site hematoma,Injection-site hematoma,Injection-site reactions,False,,Liraglutide,True,True,,SC,QD
NCT01272219,Injection-site hematoma,Adverse events in ≥5% of patients,True,False,False,False,False,Placebo,control,1242,93.0,7.5,Injection-site hematoma,Injection-site hematoma,Injection-site reactions,False,,Liraglutide,False,False,,,
NCT01272219,Serious adverse events in ≥0.2% of patients,Serious adverse events in ≥0.2% of patients,False,True,False,False,False,Liraglutide,treatment,2481,154.0,6.2,Serious adverse events in ≥0.2% of patients,Serious adverse events (≥0.2% of patients),Serious adverse events,True,serious_ae,Liraglutide,True,True,,SC,QD
NCT01272219,Serious adverse events in ≥0.2% of patients,Serious adverse events in ≥0.2% of patients,False,True,False,False,False,Placebo,control,1242,62.0,5.0,Serious adverse events in ≥0.2% of patients,Serious adverse events (≥0.2% of patients),Serious adverse events,True,serious_ae,Liraglutide,False,False,,,
NCT01272219,Cholelithiasis,Serious adverse events in ≥0.2% of patients,False,True,False,False,False,Liraglutide,treatment,2481,20.0,0.8,Cholelithiasis,Cholelithiasis,Gallbladder disease,False,,Liraglutide,True,True,,SC,QD
NCT01272219,Cholelithiasis,Serious adverse events in ≥0.2% of patients,False,True,False,False,False,Placebo,control,1242,5.0,0.4,Cholelithiasis,Cholelithiasis,Gallbladder disease,False,,Liraglutide,False,False,,,
NCT01272219,Cholecystitis acute,Serious adverse events in ≥0.2% of patients,False,True,False,False,False,Liraglutide,treatment,2481,12.0,0.5,Cholecystitis acute,Acute cholecystitis,Gallbladder disease,False,,Liraglutide,True,True,,SC,QD
NCT01272219,Cholecystitis acute,Serious adverse events in ≥0.2% of patients,False,True,False,False,False,Placebo,control,1242,0.0,0.0,Cholecystitis acute,Acute cholecystitis,Gallbladder disease,False,,Liraglutide,False,False,,,
NCT01272219,Osteoarthritis,Serious adverse events in ≥0.2% of patients,False,True,False,False,False,Liraglutide,treatment,2481,6.0,0.2,Osteoarthritis,Osteoarthritis,Osteoarthritis,False,,Liraglutide,True,True,,SC,QD
NCT01272219,Osteoarthritis,Serious adverse events in ≥0.2% of patients,False,True,False,False,False,Placebo,control,1242,0.0,0.0,Osteoarthritis,Osteoarthritis,Osteoarthritis,False,,Liraglutide,False,False,,,
NCT01272219,Intervertebral disc protrusion,Serious adverse events in ≥0.2% of patients,False,True,False,False,False,Liraglutide,treatment,2481,5.0,0.2,Intervertebral disc protrusion,Intervertebral disc protrusion,Spinal disorders,False,,Liraglutide,True,True,,SC,QD
NCT01272219,Intervertebral disc protrusion,Serious adverse events in ≥0.2% of patients,False,True,False,False,False,Placebo,control,1242,1.0,0.1,Intervertebral disc protrusion,Intervertebral disc protrusion,Spinal disorders,False,,Liraglutide,False,False,,,
NCT01272219,Pancreatitis acute,Serious adverse events in ≥0.2% of patients,False,True,False,False,False,Liraglutide,treatment,2481,4.0,0.2,Pancreatitis acute,Acute pancreatitis,Pancreatitis,False,,Liraglutide,True,True,,SC,QD
NCT01272219,Pancreatitis acute,Serious adverse events in ≥0.2% of patients,False,True,False,False,False,Placebo,control,1242,0.0,0.0,Pancreatitis acute,Acute pancreatitis,Pancreatitis,False,,Liraglutide,False,False,,,
NCT01272219,Cholecystitis,Serious adverse events in ≥0.2% of patients,False,True,False,False,False,Liraglutide,treatment,2481,4.0,0.2,Cholecystitis,Cholecystitis,Gallbladder disease,False,,Liraglutide,True,True,,SC,QD
NCT01272219,Cholecystitis,Serious adverse events in ≥0.2% of patients,False,True,False,False,False,Placebo,control,1242,0.0,0.0,Cholecystitis,Cholecystitis,Gallbladder disease,False,,Liraglutide,False,False,,,
NCT01272219,Breast cancer,Serious adverse events in ≥0.2% of patients,False,True,False,False,False,Liraglutide,treatment,2481,4.0,0.2,Breast cancer,Breast cancer,Breast cancer,False,,Liraglutide,True,True,,SC,QD
NCT01272219,Breast cancer,Serious adverse events in ≥0.2% of patients,False,True,False,False,False,Placebo,control,1242,1.0,0.1,Breast cancer,Breast cancer,Breast cancer,False,,Liraglutide,False,False,,,
NCT01272219,Back pain,Serious adverse events in ≥0.2% of patients,False,True,False,False,False,Liraglutide,treatment,2481,2.0,0.1,Back pain,Back pain,Musculoskeletal pain,False,,Liraglutide,True,True,,SC,QD
NCT01272219,Back pain,Serious adverse events in ≥0.2% of patients,False,True,False,False,False,Placebo,control,1242,2.0,0.2,Back pain,Back pain,Musculoskeletal pain,False,,Liraglutide,False,False,,,
NCT01272219,Uterine leiomyoma,Serious adverse events in ≥0.2% of patients,False,True,False,False,False,Liraglutide,treatment,2481,1.0,0.0,Uterine leiomyoma,Uterine leiomyoma,Uterine fibroid,False,,Liraglutide,True,True,,SC,QD
NCT01272219,Uterine leiomyoma,Serious adverse events in ≥0.2% of patients,False,True,False,False,False,Placebo,control,1242,2.0,0.2,Uterine leiomyoma,Uterine leiomyoma,Uterine fibroid,False,,Liraglutide,False,False,,,
NCT01272219,Cellulitis,Serious adverse events in ≥0.2% of patients,False,True,False,False,False,Liraglutide,treatment,2481,1.0,0.0,Cellulitis,Cellulitis,Cellulitis,False,,Liraglutide,True,True,,SC,QD
NCT01272219,Cellulitis,Serious adverse events in ≥0.2% of patients,False,True,False,False,False,Placebo,control,1242,3.0,0.2,Cellulitis,Cellulitis,Cellulitis,False,,Liraglutide,False,False,,,
