trial_id,variable_label,variable_label_raw,categorical_label,variable_type,units,arm_label,arm_role,arm_total_n,n,percent,mean,sd,raw_value
NCT01272219,Sex,Sex — no. (%),,categorical,,Liraglutide,treatment,2487,1957,78.7,0.0,0.0,1957 (78.7)
NCT01272219,Sex,Sex — no. (%),,categorical,,Placebo,control,1244,971,78.1,0.0,0.0,971 (78.1)
NCT01272219,Age,Age — yr,,continuous,years,Liraglutide,treatment,2487,0,0.0,45.2,12.1,45.2±12.1
NCT01272219,Age,Age — yr,,continuous,years,Placebo,control,1244,0,0.0,45.0,12.0,45.0±12.0
NCT01272219,Race or ethnic group,Race or ethnic group — no. (%),,categorical,,Liraglutide,treatment,2487,2107,84.7,0.0,0.0,2107 (84.7)
NCT01272219,Race or ethnic group,Race or ethnic group — no. (%),,categorical,,Placebo,control,1244,1061,85.3,0.0,0.0,1061 (85.3)
NCT01272219,Weight,Weight — kg,,continuous,kg,Liraglutide,treatment,2487,0,0.0,106.2,21.2,106.2±21.2
NCT01272219,Weight,Weight — kg,,continuous,kg,Placebo,control,1244,0,0.0,106.2,21.7,106.2±21.7
NCT01272219,Body-mass index,Body-mass index,,continuous,,Liraglutide,treatment,2487,0,0.0,38.3,6.4,38.3±6.4
NCT01272219,Body-mass index,Body-mass index,,continuous,,Placebo,control,1244,0,0.0,38.3,6.3,38.3±6.3
NCT01272219,Waist circumference,Waist circumference — cm,,continuous,cm,Liraglutide,treatment,2487,0,0.0,115.0,14.4,115.0±14.4
NCT01272219,Waist circumference,Waist circumference — cm,,continuous,cm,Placebo,control,1244,0,0.0,114.5,14.3,114.5±14.3
NCT01272219,Glycated hemoglobin,Glycated hemoglobin — %,,continuous,%,Liraglutide,treatment,2487,0,0.0,5.6,0.4,5.6±0.4
NCT01272219,Glycated hemoglobin,Glycated hemoglobin — %,,continuous,%,Placebo,control,1244,0,0.0,5.6,0.4,5.6±0.4
NCT01272219,Fasting glucose,Fasting glucose — mg/dl,,continuous,mg/dl,Liraglutide,treatment,2487,0,0.0,95.9,10.6,95.9±10.6
NCT01272219,Fasting glucose,Fasting glucose — mg/dl,,continuous,mg/dl,Placebo,control,1244,0,0.0,95.5,9.8,95.5±9.8
NCT01272219,Fasting insulin,Fasting insulin — μIU/ml,,continuous,μIU/ml,Liraglutide,treatment,2487,0,0.0,16.3,79.8,16.3±79.8
NCT01272219,Fasting insulin,Fasting insulin — μIU/ml,,continuous,μIU/ml,Placebo,control,1244,0,0.0,16.1,89.3,16.1±89.3
NCT01272219,Blood pressure,Blood pressure — mm Hg,,continuous,mm Hg,Liraglutide,treatment,2487,0,0.0,123.0,12.9,123.0±12.9
NCT01272219,Blood pressure,Blood pressure — mm Hg,,continuous,mm Hg,Placebo,control,1244,0,0.0,123.2,12.8,123.2±12.8
NCT01272219,Cholesterol,Cholesterol — mg/dl,,continuous,mg/dl,Liraglutide,treatment,2487,0,0.0,193.7,19.1,193.7±19.1
NCT01272219,Cholesterol,Cholesterol — mg/dl,,continuous,mg/dl,Placebo,control,1244,0,0.0,194.3,18.8,194.3±18.8
NCT01272219,LDL,LDL,,continuous,mg/dl,Liraglutide,treatment,2487,0,0.0,111.6,27.9,111.6±27.9
NCT01272219,LDL,LDL,,continuous,mg/dl,Placebo,control,1244,0,0.0,112.2,27.6,112.2±27.6
NCT01272219,HDL,HDL,,continuous,mg/dl,Liraglutide,treatment,2487,0,0.0,51.4,26.2,51.4±26.2
NCT01272219,HDL,HDL,,continuous,mg/dl,Placebo,control,1244,0,0.0,51.0,26.4,51.0±26.4
NCT01272219,VLDL,VLDL,,continuous,mg/dl,Liraglutide,treatment,2487,0,0.0,25.1,49.6,25.1±49.6
NCT01272219,VLDL,VLDL,,continuous,mg/dl,Placebo,control,1244,0,0.0,25.7,49.4,25.7±49.4
NCT01272219,Free fatty acids,Free fatty acids — mmol/liter,,continuous,mmol/liter,Liraglutide,treatment,2487,0,0.0,0.45,40.5,0.45±40.5
NCT01272219,Free fatty acids,Free fatty acids — mmol/liter,,continuous,mmol/liter,Placebo,control,1244,0,0.0,0.46,39.7,0.46±39.7
NCT01272219,Triglycerides,Triglycerides — mg/dl,,continuous,mg/dl,Liraglutide,treatment,2487,0,0.0,126.2,56.9,126.2±56.9
NCT01272219,Triglycerides,Triglycerides — mg/dl,,continuous,mg/dl,Placebo,control,1244,0,0.0,128.9,61.0,128.9±61.0
NCT01272219,Prediabetes,Prediabetes — no. (%),,categorical,,Liraglutide,treatment,2487,1528,61.4,0.0,0.0,1528 (61.4)
NCT01272219,Prediabetes,Prediabetes — no. (%),,categorical,,Placebo,control,1244,757,60.9,0.0,0.0,757 (60.9)
NCT01272219,Dyslipidemia,Dyslipidemia — no. (%),,categorical,,Liraglutide,treatment,2487,737,29.6,0.0,0.0,737 (29.6)
NCT01272219,Dyslipidemia,Dyslipidemia — no. (%),,categorical,,Placebo,control,1244,359,28.9,0.0,0.0,359 (28.9)
NCT01272219,Hypertension,Hypertension — no. (%),,categorical,,Liraglutide,treatment,2487,850,34.2,0.0,0.0,850 (34.2)
NCT01272219,Hypertension,Hypertension — no. (%),,categorical,,Placebo,control,1244,446,35.9,0.0,0.0,446 (35.9)
NCT03495102,Age,Age (years),,continuous,years,DU 1.5 mg,treatment,612,0,0.0,57.8,9.7,57.8 6 9.7
NCT03495102,Age,Age (years),,continuous,years,DU 3.0 mg,treatment,616,0,0.0,56.9,10.2,56.9 6 10.2
NCT03495102,Age,Age (years),,continuous,years,DU 4.5 mg,treatment,614,0,0.0,56.6,10.2,56.6 6 10.2
NCT03495102,Age,Age (years),,continuous,years,Total,other,1842,0,0.0,57.1,10.0,57.1 6 10.0
NCT03495102,Duration of diabetes,Duration of diabetes (years),,continuous,years,DU 1.5 mg,treatment,612,0,0.0,7.6,5.8,7.6 6 5.8
NCT03495102,Duration of diabetes,Duration of diabetes (years),,continuous,years,DU 3.0 mg,treatment,616,0,0.0,7.6,5.5,7.6 6 5.5
NCT03495102,Duration of diabetes,Duration of diabetes (years),,continuous,years,DU 4.5 mg,treatment,614,0,0.0,7.7,5.8,7.7 6 5.8
NCT03495102,Duration of diabetes,Duration of diabetes (years),,continuous,years,Total,other,1842,0,0.0,7.6,5.7,7.6 6 5.7
NCT03495102,Female sex,Female sex,Sex,categorical,,DU 1.5 mg,treatment,612,314,51.3,0.0,0.0,314 (51.3)
NCT03495102,Female sex,Female sex,Sex,categorical,,DU 3.0 mg,treatment,616,288,46.8,0.0,0.0,288 (46.8)
NCT03495102,Female sex,Female sex,Sex,categorical,,DU 4.5 mg,treatment,614,296,48.2,0.0,0.0,296 (48.2)
NCT03495102,Female sex,Female sex,Sex,categorical,,Total,other,1842,898,48.8,0.0,0.0,898 (48.8)
NCT03495102,Race,American Indian or Alaska Native,Race,categorical,,DU 1.5 mg,treatment,612,30,4.9,0.0,0.0,30 (4.9)
NCT03495102,Race,American Indian or Alaska Native,Race,categorical,,DU 3.0 mg,treatment,616,26,4.2,0.0,0.0,26 (4.2)
NCT03495102,Race,American Indian or Alaska Native,Race,categorical,,DU 4.5 mg,treatment,614,32,5.2,0.0,0.0,32 (5.2)
NCT03495102,Race,American Indian or Alaska Native,Race,categorical,,Total,other,1842,88,4.8,0.0,0.0,88 (4.8)
NCT03495102,Race,Asian,Race,categorical,,DU 1.5 mg,treatment,612,13,2.1,0.0,0.0,13 (2.1)
NCT03495102,Race,Asian,Race,categorical,,DU 3.0 mg,treatment,616,18,2.9,0.0,0.0,18 (2.9)
NCT03495102,Race,Asian,Race,categorical,,DU 4.5 mg,treatment,614,14,2.3,0.0,0.0,14 (2.3)
NCT03495102,Race,Asian,Race,categorical,,Total,other,1842,45,2.4,0.0,0.0,45 (2.4)
NCT03495102,Race,Black,Race,categorical,,DU 1.5 mg,treatment,612,28,4.6,0.0,0.0,28 (4.6)
NCT03495102,Race,Black,Race,categorical,,DU 3.0 mg,treatment,616,31,5.0,0.0,0.0,31 (5.0)
NCT03495102,Race,Black,Race,categorical,,DU 4.5 mg,treatment,614,23,3.7,0.0,0.0,23 (3.7)
NCT03495102,Race,Black,Race,categorical,,Total,other,1842,82,4.5,0.0,0.0,82 (4.5)
NCT03495102,Race,Native Hawaiian or Pacific Islander,Race,categorical,,DU 1.5 mg,treatment,612,1,0.2,0.0,0.0,1 (0.2)
NCT03495102,Race,Native Hawaiian or Pacific Islander,Race,categorical,,DU 3.0 mg,treatment,616,1,0.2,0.0,0.0,1 (0.2)
NCT03495102,Race,Native Hawaiian or Pacific Islander,Race,categorical,,DU 4.5 mg,treatment,614,3,0.5,0.0,0.0,3 (0.5)
NCT03495102,Race,Native Hawaiian or Pacific Islander,Race,categorical,,Total,other,1842,5,0.3,0.0,0.0,5 (0.3)
NCT03495102,Race,White,Race,categorical,,DU 1.5 mg,treatment,612,529,86.4,0.0,0.0,529 (86.4)
NCT03495102,Race,White,Race,categorical,,DU 3.0 mg,treatment,616,521,84.6,0.0,0.0,521 (84.6)
NCT03495102,Race,White,Race,categorical,,DU 4.5 mg,treatment,614,530,86.3,0.0,0.0,530 (86.3)
NCT03495102,Race,White,Race,categorical,,Total,other,1842,1580,85.8,0.0,0.0,1580 (85.8)
NCT03495102,Race,Multiple,Race,categorical,,DU 1.5 mg,treatment,612,11,1.8,0.0,0.0,11 (1.8)
NCT03495102,Race,Multiple,Race,categorical,,DU 3.0 mg,treatment,616,19,3.1,0.0,0.0,19 (3.1)
NCT03495102,Race,Multiple,Race,categorical,,DU 4.5 mg,treatment,614,12,2.0,0.0,0.0,12 (2.0)
NCT03495102,Race,Multiple,Race,categorical,,Total,other,1842,42,2.3,0.0,0.0,42 (2.3)
NCT03495102,HbA1c,HbA1c (%),,continuous,%,DU 1.5 mg,treatment,612,0,0.0,8.6,0.9,8.6 6 0.9
NCT03495102,HbA1c,HbA1c (%),,continuous,%,DU 3.0 mg,treatment,616,0,0.0,8.6,1.0,8.6 6 1.0
NCT03495102,HbA1c,HbA1c (%),,continuous,%,DU 4.5 mg,treatment,614,0,0.0,8.6,0.9,8.6 6 0.9
NCT03495102,HbA1c,HbA1c (%),,continuous,%,Total,other,1842,0,0.0,8.6,1.0,8.6 6 1.0
NCT03495102,BMI,BMI (kg/m2),,continuous,kg/m2,DU 1.5 mg,treatment,612,0,0.0,34.4,6.4,34.4 6 6.4
NCT03495102,BMI,BMI (kg/m2),,continuous,kg/m2,DU 3.0 mg,treatment,616,0,0.0,34.3,6.2,34.3 6 6.2
NCT03495102,BMI,BMI (kg/m2),,continuous,kg/m2,DU 4.5 mg,treatment,614,0,0.0,34.0,6.2,34.0 6 6.2
NCT03495102,BMI,BMI (kg/m2),,continuous,kg/m2,Total,other,1842,0,0.0,34.2,6.3,34.2 6 6.3
NCT03495102,Weight,Weight (kg),,continuous,kg,DU 1.5 mg,treatment,612,0,0.0,95.5,20.2,95.5 6 20.2
NCT03495102,Weight,Weight (kg),,continuous,kg,DU 3.0 mg,treatment,616,0,0.0,96.3,20.1,96.3 6 20.1
NCT03495102,Weight,Weight (kg),,continuous,kg,DU 4.5 mg,treatment,614,0,0.0,95.4,20.6,95.4 6 20.6
NCT03495102,Weight,Weight (kg),,continuous,kg,Total,other,1842,0,0.0,95.7,20.3,95.7 6 20.3
NCT03495102,eGFR,eGFR (mL/min/1.73 m2),,continuous,mL/min/1.73 m2,DU 1.5 mg,treatment,612,0,0.0,93.4,18.2,93.4 6 18.2
NCT03495102,eGFR,eGFR (mL/min/1.73 m2),,continuous,mL/min/1.73 m2,DU 3.0 mg,treatment,616,0,0.0,93.3,17.8,93.3 6 17.8
NCT03495102,eGFR,eGFR (mL/min/1.73 m2),,continuous,mL/min/1.73 m2,DU 4.5 mg,treatment,614,0,0.0,93.7,18.3,93.7 6 18.3
NCT03495102,eGFR,eGFR (mL/min/1.73 m2),,continuous,mL/min/1.73 m2,Total,other,1842,0,0.0,93.5,18.1,93.5 6 18.1
NCT03495102,eGFR category,eGFR category (mL/min/1.73 m2),eGFR category,categorical,mL/min/1.73 m2,DU 1.5 mg,treatment,612,33,5.4,0.0,0.0,33 (5.4)
NCT03495102,eGFR category,eGFR category (mL/min/1.73 m2),eGFR category,categorical,mL/min/1.73 m2,DU 3.0 mg,treatment,616,25,4.1,0.0,0.0,25 (4.1)
